raw_name,first_name,last_name,f_count,m_count
AAZLYNN,AAZLYNN,,50,0
AAZMIR,AAZMIR,,0,50
AB,AB,,0,32
ABA,ABA,,50,0
ABAAN,ABAAN,,0,50
ABAAS,ABAAS,,0,50
ABABYA,ABABYA,,50,0
ABAD,ABAD,,0,71
ABADAT,ABADAT,,0,50
ABAENY,ABAENY,,50,0
ABAGAEL,ABAGAEL,,50,0
ABAGAIL,ABAGAIL,,50,0
ABAGAILE,ABAGAILE,,50,0
ABAGALE,ABAGALE,,50,0
ABAGAYL,ABAGAYL,,50,0
ABAGAYLE,ABAGAYLE,,50,0
ABAI,ABAI,,0,1
ABAIGAEL,ABAIGAEL,,50,0
ABAIGAIL,ABAIGAIL,,50,0
ABAIGEAL,ABAIGEAL,,50,0
ABAIGH,ABAIGH,,29,0
ABAK,ABAK,,50,0
ABAKAR,ABAKAR,,0,50
ABALEEN,ABALEEN,,50,0
ABALENE,ABALENE,,50,0
ABAN,ABAN,,0,50
ABANG,ABANG,,50,0
ABANOUB,ABANOUB,,0,29
ABANY,ABANY,,50,0
ABAS,ABAS,,0,51
ABASI,ABASI,,0,29
ABASI IMA,ABASI,IMA,29,0
ABASS,ABASS,,0,50
ABAY,ABAY,,50,1
ABAYOMI,ABAYOMI,,0,50
ABAZ,ABAZ,,0,3
ABB,ABB,,0,29
ABBA,ABBA,,23,0
ABBAAS,ABBAAS,,0,29
ABBAD,ABBAD,,0,29
ABBAGAEL,ABBAGAEL,,50,0
ABBAGAIL,ABBAGAIL,,50,0
ABBAGALE,ABBAGALE,,50,0
ABBAGAYLE,ABBAGAYLE,,50,0
ABBAIGH,ABBAIGH,,29,0
ABBAS,ABBAS,,0,53
ABBAS HUSSEIN,ABBAS,HUSSEIN,0,29
ABBASON,ABBASON,,0,50
ABBASS,ABBASS,,0,50
ABBE,ABBE,,50,0
ABBEE,ABBEE,,50,0
ABBEGAEL,ABBEGAEL,,50,0
ABBEGAIL,ABBEGAIL,,50,0
ABBEGALE,ABBEGALE,,50,0
ABBEGAYLE,ABBEGAYLE,,50,0
ABBEIGH,ABBEIGH,,29,0
ABBEIR,ABBEIR,,50,0
ABBELLA,ABBELLA,,50,0
ABBEY,ABBEY,,29,0
ABBEY GAIL,ABBEY,GAIL,50,0
ABBEY GAYLE,ABBEY,GAYLE,50,0
ABBEY LEIGH,ABBEY,LEIGH,29,0
ABBEY LOUISE,ABBEY,LOUISE,29,0
ABBEY LYNN,ABBEY,LYNN,50,0
ABBEYGAEL,ABBEYGAEL,,50,0
ABBEYGAIL,ABBEYGAIL,,50,0
ABBEYGALE,ABBEYGALE,,50,0
ABBEYGAYLE,ABBEYGAYLE,,50,0
ABBI,ABBI,,50,0
ABBI GAIL,ABBI,GAIL,50,0
ABBI GAYLE,ABBI,GAYLE,50,0
ABBI LEIGH,ABBI,LEIGH,29,0
ABBI LOUISE,ABBI,LOUISE,29,0
ABBI LYNN,ABBI,LYNN,50,0
ABBI MAE,ABBI,MAE,29,0
ABBI ROSE,ABBI,ROSE,29,0
